end_date,p_wt,t_wt,success_rate
7/1/2021,0.24,0.76,0.5168918918918919
7/1/2021,0.25,0.75,0.5176158301158301
7/1/2021,0.26,0.74,0.5173745173745173
7/1/2021,0.27,0.73,0.519546332046332
7/1/2021,0.28,0.72,0.5207528957528957
7/1/2021,0.29,0.71,0.5193050193050193
7/1/2021,0.3,0.7,0.5197876447876448
7/1/2021,0.31,0.69,0.520511583011583
7/1/2021,0.32,0.6799999999999999,0.5209942084942085
7/1/2021,0.33,0.6699999999999999,0.5217181467181468
7/1/2021,0.34,0.6599999999999999,0.5219594594594594
7/1/2021,0.35,0.65,0.5226833976833977
7/1/2021,0.36,0.64,0.5229247104247104
7/1/2021,0.37,0.63,0.5236486486486487
7/1/2021,0.38,0.62,0.5246138996138996
7/1/2021,0.39,0.61,0.5229247104247104
7/1/2021,0.4,0.6,0.5234073359073359
7/1/2021,0.41,0.5900000000000001,0.5238899613899614
7/1/2021,0.42,0.5800000000000001,0.5248552123552124
7/1/2021,0.43,0.5700000000000001,0.5238899613899614
7/1/2021,0.44,0.56,0.5241312741312741
7/1/2021,0.45,0.55,0.5236486486486487
7/1/2021,0.46,0.54,0.5243725868725869
7/1/2021,0.47,0.53,0.5238899613899614
7/1/2021,0.48,0.52,0.5236486486486487
7/1/2021,0.49,0.51,0.5238899613899614
7/1/2021,0.5,0.5,0.5226833976833977
7/1/2021,0.51,0.49,0.5222007722007722
7/1/2021,0.52,0.48,0.5219594594594594
7/1/2021,0.53,0.47,0.5217181467181468
7/1/2021,0.54,0.45999999999999996,0.521476833976834
7/1/2021,0.55,0.44999999999999996,0.5207528957528957
7/1/2021,0.56,0.43999999999999995,0.5207528957528957
7/1/2021,0.57,0.43000000000000005,0.5219594594594594
7/1/2021,0.58,0.42000000000000004,0.5212355212355212
7/1/2021,0.59,0.41000000000000003,0.5209942084942085
7/1/2021,0.6,0.4,0.5212355212355212
7/1/2021,0.61,0.39,0.5231660231660231
7/1/2021,0.62,0.38,0.5236486486486487
7/1/2021,0.63,0.37,0.5236486486486487
7/1/2021,0.64,0.36,0.5236486486486487
7/1/2021,0.65,0.35,0.5229247104247104
7/1/2021,0.66,0.33999999999999997,0.5234073359073359
7/1/2021,0.67,0.32999999999999996,0.5236486486486487
7/1/2021,0.68,0.31999999999999995,0.5234073359073359
7/1/2021,0.69,0.31000000000000005,0.5226833976833977
7/1/2021,0.7,0.30000000000000004,0.5226833976833977
7/1/2021,0.71,0.29000000000000004,0.5231660231660231
7/1/2021,0.72,0.28,0.5238899613899614
7/1/2021,0.73,0.27,0.5236486486486487
7/1/2021,0.74,0.26,0.5243725868725869
7/1/2021,0.75,0.25,0.5238899613899614
7/1/2021,0.76,0.24,0.5229247104247104
7/1/2021,0.77,0.22999999999999998,0.5226833976833977
7/1/2021,0.78,0.21999999999999997,0.522442084942085
7/1/2021,0.79,0.20999999999999996,0.5222007722007722
7/1/2021,0.8,0.19999999999999996,0.5217181467181468
7/1/2021,0.81,0.18999999999999995,0.5217181467181468
7/1/2021,0.82,0.18000000000000005,0.521476833976834
7/1/2021,0.83,0.17000000000000004,0.5212355212355212
7/1/2021,0.84,0.16000000000000003,0.5212355212355212
7/1/2021,0.85,0.15000000000000002,0.520511583011583
7/1/2021,0.86,0.14,0.5202702702702703
7/1/2021,0.87,0.13,0.5207528957528957
7/1/2021,0.88,0.12,0.5212355212355212
7/1/2021,0.89,0.10999999999999999,0.521476833976834
7/1/2021,0.9,0.09999999999999998,0.5212355212355212
7/1/2021,0.91,0.08999999999999997,0.5212355212355212
7/1/2021,0.92,0.07999999999999996,0.5212355212355212
7/1/2021,0.93,0.06999999999999995,0.5217181467181468
7/1/2021,0.94,0.06000000000000005,0.5217181467181468
7/1/2021,0.95,0.050000000000000044,0.5217181467181468
7/1/2021,0.96,0.040000000000000036,0.5219594594594594
7/1/2021,0.97,0.030000000000000027,0.5219594594594594
7/1/2021,0.98,0.020000000000000018,0.521476833976834
7/1/2021,0.99,0.010000000000000009,0.5217181467181468
12/31/2020,0.0,1.0,0.5119805316360914
12/31/2020,0.01,0.99,0.510295769374766
12/31/2020,0.02,0.98,0.5110445526020218
12/31/2020,0.03,0.97,0.51048296518158
12/31/2020,0.04,0.96,0.510295769374766
12/31/2020,0.05,0.95,0.5091725945338824
12/31/2020,0.06,0.94,0.5095469861475103
12/31/2020,0.07,0.9299999999999999,0.5114189442156496
12/31/2020,0.08,0.92,0.5116061400224635
12/31/2020,0.09,0.91,0.5119805316360914
12/31/2020,0.1,0.9,0.5119805316360914
12/31/2020,0.11,0.89,0.5117933358292774
12/31/2020,0.12,0.88,0.5123549232497192
12/31/2020,0.13,0.87,0.512916510670161
12/31/2020,0.14,0.86,0.5121677274429053
12/31/2020,0.15,0.85,0.5123549232497192
12/31/2020,0.16,0.84,0.512916510670161
12/31/2020,0.17,0.83,0.5136652938974167
12/31/2020,0.18,0.8200000000000001,0.512916510670161
12/31/2020,0.19,0.81,0.512916510670161
12/31/2020,0.2,0.8,0.5119805316360914
12/31/2020,0.21,0.79,0.512916510670161
12/31/2020,0.22,0.78,0.5131037064769749
12/31/2020,0.23,0.77,0.5147884687383003
12/31/2020,0.24,0.76,0.5153500561587421
12/31/2020,0.25,0.75,0.5172220142268813
12/31/2020,0.26,0.74,0.5174092100336952
12/31/2020,0.27,0.73,0.5183451890677648
12/31/2020,0.28,0.72,0.5185323848745788
12/31/2020,0.29,0.71,0.5192811681018346
12/31/2020,0.3,0.7,0.5190939722950206
12/31/2020,0.31,0.69,0.5198427555222763
12/31/2020,0.32,0.6799999999999999,0.5190939722950206
12/31/2020,0.33,0.6699999999999999,0.5181579932609509
12/31/2020,0.34,0.6599999999999999,0.5192811681018346
12/31/2020,0.35,0.65,0.5185323848745788
